Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
237936754,Leche cruda,Ángelo Néstore,"Néstore, Ángelo",,"=""841035229X""","=""9788410352292""",3,Reservoir Books,Kindle Edition,185,2025,,2026/04/03,2026/04/02,,,read,"Al principio me costó muchísimo, después me pareció meh y hacia el final le encontré un poco el gusto. ",,,1,0
41841944,El tatuador de Auschwitz,Heather   Morris,"Morris, Heather",,"=""6070752449""","=""9786070752445""",5,Planeta Publishing,Paperback,312,2018,2018,2026/03/20,2026/03/20,,,read,No se puede decir nada de una historia así. ,,,1,0
221435785,Los hechos de Key Biscayne,Xita Rubert,"Rubert, Xita",,"=""8433929909""","=""9788433929907""",4,Editorial Anagrama,Kindle Edition,159,2024,,2026/03/06,2026/03/06,,,read,"Siento que no termina de cerrar demasiado, pero me pareció espectacular cómo construye el vinculo entre hija padre y los otros",,,1,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",4,Tinder Press,Hardcover,372,2020,2020,2026/03/01,2026/03/01,,,read,Me costó mil terminarlo. Igual eso va más por mi que por el libro. Me gustan las relecturas modernas de clásicos. ,,,1,0
221241075,Clara y confusa,Cynthia Rimsky,"Rimsky, Cynthia",,"=""843392754X""","=""9788433927545""",3,Anagrama,Paperback,168,2024,,2026/01/29,2026/01/29,,,read,"Interesante. No hay que buscar entender demasiado la trama, pero poético y bonito de leer. ",,,1,0
241987105,Mi niñera de la KGB,Laura Elisa Ramos,"Ramos, Laura Elisa",,"=""8426496687""","=""9788426496683""",3,LUMEN,Kindle Edition,209,2025,,2026/01/17,2026/01/17,,,read,Muy interesante. Se me hizo un poco repetitivo. ,,,1,0
43088156,El sistema del tacto,Alejandra Costamagna,"Costamagna, Alejandra",,"=""""","=""""",0,Anagrama,Paperback,192,2018,2018,2025/09/21,2025/09/21,,,read,"Una escritura preciosa de leer pero poco cautivante la historia. Demasiado personal, tal vez, que no llega a pasar al lector. ",,,1,0
6004367,Las pequeñas virtudes,Natalia Ginzburg,"Ginzburg, Natalia",Celia Filipetto Isicato,"=""8495359669""","=""9788495359667""",5,Acantilado,Paperback,168,2018,1962,2025/12/15,2025/12/14,,,read,"Precioso y simple. Para terminar el año, muy bien. ",,,1,0
243423617,Obsolescencia programada,Manuel Cantón,"Cantón, Manuel",,"=""9566267762""","=""9789566267768""",5,La Pollera Ediciones,Kindle Edition,266,2025,,2025/12/07,2025/12/07,,,read,Gran narrador contemporáneo que no necesita escribir -una vez más- el presente. Librazo total. ,,,1,0
32793599,Nefando,Mónica Ojeda,"Ojeda, Mónica",,"=""8415934238""","=""9788415934233""",1,Candaya,Paperback,208,2016,2016,,2025/11/15,,,read,"No pude ni llegar a la parte de los horrores porque me parece infumable. Todos los personajes son muy similares, hay una pretensión de profundidad que es solo un uso descarado de descripciones barrocas, todos los personajes se presentan como más interesantes o profundos de lo que realmente son. Realmente no pude pasar el 1/3 del libro. ",,,1,0
56783284,Los abismos,Pilar Quintana,"Quintana, Pilar",,"=""6125020045""","=""9786125020048""",4,Alfaguara,Paperback,256,2021,2021,2025/11/14,2025/11/13,,,read,"Una novela cortita y poderosa. Realmente te da una sensación de desamparo seguir la cabeza de esta niña que todo el tiempo trata de consolar a su madre y tiene esta relación ambivalente con el padre entre ausencia, demonio y el único que le presta atención.",,,1,0
58730652,Paradais,Fernanda Melchor,"Melchor, Fernanda",Sophie Hughes,"=""1913097870""","=""9781913097875""",2,Fitzcarraldo Editions,Paperback,118,2022,2021,2025/11/08,2025/11/08,,,read,"Super raro, raro la construcción de personajes, las descripciones. Desagradable pero no sentí que fuese el tipo de desagradable que se buscaba construir. ",,,1,0
